KODE,NAMA BAHAN,BERAT STANDAR,BDD,AIR,ENERGI,PROTEIN,LEMAK,KH,SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,BKAR,KARTOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,HARGA PER-BERAT STANDAR
DP048,Sayur bunga pepaya,100.0,100.0,83.4,49.0,1.7,0.3,9.8,2.7,2.1,220.0,220.0,1.3,90.0,350.0,0.1,0.1,,372.0,,,0.1,0.0,0.0,0
DP049,Sayur garu,100.0,100.0,70.8,178.0,2.6,13.9,10.6,8.4,2.1,30.0,130.0,0.9,20.0,120.0,0.1,0.3,,,,0.2,0.1,,9.0,0
DP050,Sayur kohu-kohu,100.0,100.0,72.8,133.0,7.3,6.6,11.2,1.2,2.1,40.0,120.0,0.2,20.0,50.0,0.1,0.3,,944.0,,0.2,0.2,,9.0,0
CP058,Sayur lebui,100.0,100.0,83.9,64.0,2.1,0.6,12.5,5.7,0.9,21.0,2.0,1.0,124.0,146.0,0.2,0.7,,14.0,,,0.0,0.1,,0
DP051,Sayur lilin-terubuk,100.0,100.0,90.4,36.0,2.7,0.7,4.8,1.4,1.4,10.0,90.0,0.1,30.0,44.0,0.2,1.0,,,,0.3,0.2,,18.0,0
DP052,Sayur ndusuk,100.0,100.0,87.5,49.0,3.1,2.5,3.6,,3.1,11.0,6.0,0.5,1011.0,88.0,,0.2,,,,0.2,0.1,,15.0,0
DP053,Sayur sop,100.0,100.0,92.7,27.0,1.3,2.0,1.0,0.3,2.7,168.0,57.0,1.8,,,,,20.0,,2569.0,0.1,,,0.0,0
DP054,Sayur umbut kelapa,100.0,100.0,85.5,67.0,5.2,2.9,5.1,1.4,1.3,48.0,81.0,3.2,313.0,108.0,0.2,1.1,,21.0,,0.2,,,5.0,0
DP055,Sayur umbut rotan,100.0,100.0,87.6,57.0,5.4,2.6,3.1,1.6,1.3,184.0,135.0,1.2,256.0,81.0,0.2,0.9,,18.0,0.0,0.2,,,6.0,0
DR146,"Selada air, segar",100.0,70.0,93.3,17.0,3.1,0.2,2.2,0.7,1.2,95.0,152.0,2.4,65.0,260.7,0.1,0.2,0.0,1230.0,3727.0,0.1,0.1,0.7,56.0,0
DP016,"Selada, rebus",100.0,100.0,93.5,19.0,2.7,0.2,2.9,0.7,0.7,83.0,74.0,1.4,24.0,160.7,0.1,0.2,,2499.0,3700.0,0.1,0.2,0.6,27.0,0
DR145,"Selada, segar",100.0,69.0,94.8,18.0,1.2,0.2,2.9,1.8,0.9,22.0,25.0,0.5,19.0,186.4,0.0,0.2,,1526.0,540.0,0.0,0.1,0.4,8.0,0
DR147,"Seledri, segar",100.0,63.0,93.0,23.0,1.0,0.1,4.6,2.0,1.3,50.0,40.0,1.0,64.0,258.8,0.1,0.4,,63.0,130.0,0.0,0.1,0.4,11.0,0
ER105,"Semangka, segar",100.0,46.0,92.1,28.0,0.5,0.2,6.9,0.4,0.3,7.0,12.0,0.2,7.0,93.8,0.0,0.1,,315.0,590.0,0.1,0.1,0.3,6.0,0
DP057,Semur jengkol,100.0,100.0,52.7,212.0,6.0,10.0,29.1,,2.2,77.0,99.0,1.0,,,,,,,81.0,0.1,,,4.0,0
BR023,"Sente, talas, segar",100.0,86.0,14.0,353.0,0.7,0.2,84.7,6.6,0.4,11.0,13.0,1.5,30.0,694.6,0.6,2.2,,41.0,,0.1,0.2,2.8,5.0,0
GP091,"Sepi, masakan",100.0,100.0,66.1,88.0,7.9,1.6,10.6,,13.8,924.0,350.0,2.3,873.0,258.0,1.0,1.1,783.0,,,,,,,0
BP062,Serimping talas kebumen,100.0,100.0,4.8,478.0,2.5,21.2,69.2,1.7,2.3,112.0,118.0,2.3,,,,,0.0,,0.0,0.3,,,0.0,0
DP056,Shabu-shabu,100.0,100.0,87.1,88.0,3.2,8.0,0.8,0.9,0.9,217.0,48.0,2.9,514.0,,,,82.0,,2000.0,0.2,,,0.0,0
FP067,"Sie reuboh, masakan",100.0,100.0,32.4,474.0,11.2,42.5,11.7,,2.2,26.0,62.0,1.3,677.0,176.0,2.4,3.2,141.0,9.0,,0.5,0.3,,,0
ER106,"Sirsak, segar",100.0,68.0,81.7,65.0,1.0,0.3,16.3,3.2,0.7,14.0,27.0,0.6,2.0,298.9,0.1,1.0,,8.0,10.0,0.1,0.1,0.7,20.0,0
MP014,Sirup,100.0,100.0,44.0,213.0,0.0,0.0,55.0,0.0,1.0,0.0,0.0,0.0,3.0,4.2,,,,0.0,,0.0,0.0,0.0,,0
MP015,Sirup pirous,100.0,100.0,43.3,228.0,0.2,0.4,55.9,0.0,0.2,470.0,93.0,29.5,3.0,4.2,,,,0.0,0.0,0.0,0.0,0.0,8.0,0
FP068,"Sop buntut, masakan",100.0,100.0,86.1,71.0,7.5,3.6,2.2,,0.6,286.0,38.0,3.2,490.0,,,,119.0,,2900.0,0.1,,,0.0,0
FP069,"Sop daging sapi, masakan",100.0,100.0,87.5,49.0,5.8,0.5,5.3,,0.9,158.0,48.0,2.2,391.0,,,,101.0,,3320.0,0.4,,,0.0,0
FP070,"Sop kaki sapi, masakan",100.0,100.0,84.5,68.0,9.0,1.9,3.7,,0.9,302.0,15.0,2.2,435.0,,,,48.0,,150.0,0.5,,,0.0,0
FP071,"Sop kambing, masakan",100.0,100.0,91.6,34.0,5.5,0.8,1.1,,1.0,145.0,37.0,1.6,348.0,,,,48.0,,80.0,0.6,,,0.0,0
FP072,"Sop konro, masakan",100.0,100.0,85.0,71.0,7.4,2.6,4.5,,0.5,17.0,60.0,4.6,184.0,25.0,0.3,1.3,,,,0.1,0.0,10.9,0.0,0
FP073,"Sop saudara, masakan",100.0,100.0,82.4,89.0,7.2,5.0,3.9,,1.5,10.0,174.0,9.0,274.0,50.0,0.2,1.1,,,,0.1,0.1,2.0,0.0,0
FP074,"Soto bandung, masakan",100.0,100.0,89.9,42.0,3.9,1.7,2.8,0.4,1.8,74.0,75.0,1.8,,,,,6.0,20.0,0.0,,,0.0,0.0,0
FP075,"Soto banjar, masakan",100.0,100.0,83.7,110.0,2.9,9.5,3.2,,0.7,28.0,28.0,0.3,36.0,6.0,0.0,0.2,12.0,,770.0,0.1,,,0.0,0
FP076,"Soto betawi, masakan",100.0,100.0,75.9,135.0,2.5,8.8,11.5,0.5,1.3,222.0,72.0,1.9,,,,,6.0,,336.0,0.0,,0.0,0.0,0
FP077,"Soto jeroan, masakan",100.0,100.0,81.4,92.0,11.8,4.3,1.4,,1.1,218.0,48.0,1.9,363.0,,,,85.0,,440.0,0.4,,,0.0,0
